,formula_pretty,formation_energy_per_atom
526,K6NbTlAs4,-0.4695597996944443
527,LiCaFeF6,-3.3176905009259254
528,Zr5CuPb3,-0.28750514833333324
529,Pd(Se4Cl)2,-0.6257312069318182
530,ZnPd,-0.5762806899999999
531,ZrSnTe,-0.8209886766666674
532,Tl(WO3)6,-2.143373307333334
533,Er3CoSi3,-0.7677492878571428
534,K2ReCl6,-1.6840062534444442
535,Rb2U(SiO3)4,-3.222836959736843
536,NbGaOs2,-0.2038171543750007
537,LiIn2Pd,-0.4504737558333334
538,Sr2IN,-1.2753018583333326
539,Er(Ni2P)2,-0.8368066588095238
540,ErB4W,-0.6050559969444448
541,Gd2NCl3,-2.481299335833333
542,Li2ErIn,-0.269369399166667
543,KSiSbO5,-2.5400638691250004
544,TcAgO4,-1.5277039327777768
545,BaSiAu,-0.5554280733333332
546,Rb2V3O8,-2.4520179680769236
547,Li3Ag,-0.15702178666666677
548,Sr3YRhO6,-2.917557888787879
549,NaIn(GeO3)2,-2.127569738655173
550,Li3AuO3,-1.671150450357143
551,Na2OsO4,-1.75060399544335
552,Rb2BiMoPO8,-2.324027051602564
553,K4I2O9,-1.4257720088000008
554,Hf23Se25,-1.4040681549707028
555,Sr2BN2Cl,-1.7095460187499991
556,Ni3Mo2SeO11,-1.6086482869025736
557,BaUI6,-1.4900038662500004
558,Cu2SnHgSe4,-0.507914574921875
559,Ti3(Ni10B3)2,-0.4257740177586207
560,HfRh,-0.8583913900000013
561,TaFe4W,-0.11057572166666556
562,Na2CrNiF7,-2.870085205509404
563,Dy3Rh2,-0.7666350421428572
564,Nd(CuGe)2,-0.5367518580000002
565,Li2CaTa2O7,-3.209821499722222
566,LaBr3O7,-1.076500980681818
567,Dy2Mo4O15,-2.5220771261904753
568,IrI3,-0.44097063000000025
569,NbFeP,-0.8765472077777771
570,Th2AsNO,-2.490040879
571,Ca3Sn13Rh4,-0.5030336207499999
572,Rb2BiPWO8,-2.353356825448718
573,Ba3RuN3,-0.6075384014285713
574,Nd2Ni12P7,-0.7422544392063493
575,LiYSi,-0.5893936755555558
576,Ba4Na(BO3)3,-3.053156837885396
577,ZrTl2S3,-1.2328687543402772
578,ThC,-0.27634216000000045
579,Cs6U5(AsO7)4,-2.800428881106655
580,ReN2(OF2)4,-1.6402554509166671
581,LiPm2Sn,-0.44844138583333315
582,LaCuSb2,-0.8267682850000009
583,KTm(MoO4)2,-2.553142176430556
584,GdAgGe,-0.6497083450000013
585,ScRh3C,-0.4951886369999997
586,Mn12Ge4N3,-0.2631161647459177
587,Ba(CuSb)2,-0.5424667650000004
588,Tm2AgRu,-0.41476573124999927
589,K2PrCl5,-2.550363245125
590,Gd3SOF5,-4.005219381562502
591,TlInAs2O7,-1.7357126762121207
592,KLaGeS4,-1.5924946357857144
593,RbLiS,-1.3452235163194448
594,Ce3Pt4,-1.0874826164285716
595,PrSnIr,-0.766245208888889
596,YbSn2Pd,-0.71015992375
597,La2InCuS5,-1.7111974317361112
598,Ca4As2O,-1.8127497364285712
599,HoAsO4,-2.851942733333333
600,TiFe2Ge,-0.4796471020833337
601,Er(SiRh)2,-1.11451713
602,AlAgSe2,-0.8552725878385417
603,TiGaPt,-0.8137034286111108
604,Hf5NiSb3,-0.5893369522222227
605,Li2Ti3ZnO8,-3.0603374724404753
606,Mo2P2O11,-2.2648107324444444
607,BaSb3,-0.6914075200000003
608,InSe,-0.7459355586718752
609,K3BiO3,-1.6843301366428574
610,RbSr2Br5,-2.394429330729167
611,InSb2S4Cl,-0.7876234321874991
612,Re3P4,-0.3813626069047617
613,Er3Sb4Au3,-0.8552355135000006
614,MgH6(SO4)4,-1.7509649387962967
615,MgZnRh2,-0.43236927999999963
616,Sm(FeP3)4,-0.5950853491176472
617,BaAl2O4,-3.448151519642857
618,Sr2HoTaO6,-3.612131800833334
619,Zn3P2,-0.18831408583333342
620,Sr2SnS4,-1.680194235833334
621,Dy4CdCo,-0.24862669041666643
622,Hf6CoBi2,-0.2502774005555561
623,Rb9O2,-0.6578798943181816
624,Ba2In2O5,-2.4240572566666665
625,GdMnSi,-0.5527743093103451
626,Al2AgCl5O,-2.0065435549074078
627,Ba20As13,-1.0701879127272729
628,Nd3U2O10,-3.846564382000001
629,U(CoSi)2,-0.5394720499999991
630,Ni3N,-0.05959301874999934
631,Cs2Ge(TeO4)3,-1.729762180047893
632,NiP2(PbO4)2,-2.263185920512821
633,PrYMg2,-0.11343261291666629
634,Lu3PbC,-0.5676045199999997
635,ScSbPd,-1.0423218650000006
636,CaVBiO5,-2.5537714839062495
637,RbAsOF4,-2.588855696785714
638,Sm2Cr2C3,-0.23374134714285638
639,PdI2,-0.5030042033333336
640,Hf3Rh5,-0.9153235287499992
641,VNiP,-0.762717431111111
642,ErIr2,-0.8424396366666672
643,K3TiCl6,-2.1914982217333328
644,Y6PtI10,-1.5415001505882362
645,TbAlNi,-0.5911313488888889
646,Cs3Cu2Cl5,-1.6754096798793103
647,BaTl4,-0.24333980466666674
648,CaNdAl3O7,-3.5479249383333324
649,KLu(WO4)2,-2.6924408606666668
650,K2Ta4O11,-3.205600332705882
651,Ca4Ni3C5,-0.18286186499999957
652,NaSrP,-0.7961197132950192
653,RbV3O8,-2.3688600585416673
654,Tb2Co17,-0.0933371102631587
655,Pr8Ga3Co,-0.3115649189583329
656,Nd3S3N,-2.175756092410713
657,CsBaPS4,-1.4930105555377666
658,CeGaSi,-0.6227871491666654
659,Nd(BOs)2,-0.43342121066666695
660,CeYIn6,-0.41830289770833406
661,TaSbO4,-2.7085719458333344
662,Er2GaCo2,-0.44089202350000034
663,Rb2TlAgCl6,-1.5487373274999996
664,Y5Mg13Cu5,-0.1673149290579708
665,Tm2FeC4,-0.3184125069047618
666,Na3CeF7,-3.502983935650471
667,Bi2Te4O11,-1.576845601911765
668,Ho(BO2)3,-3.1991615176249995
